recno;ID;RAJ2000;DEJ2000;l_mlow;mlow;l_Dmmax;Dmmax;l_sigint;sigint;l_Sd;Sd;l_Sy;Sy;LC;Mph;rmag;OT;z;X;Class
 ; ;deg;deg; ;mag; ;mag; ;mag; ;mag; ;mag; ; ;mag; ; ; ;
     163;XMMLSS_MOS03-20 ;036.1622;-04.4519; ;20.85; ; 1.45; ; 0.49; ; 0.15; ; 1.09;V;ext;17.93;   ;      ;X;AGN
     164;XMMLSS_MOS02-14 ;035.2514;-04.4322;>;22.77;>; 1.45; ; 0.46; ;     ; ; 1.08;V;ext;24.02;   ;      ;X;AGN
     165;XMMLSS_MOS01-13 ;036.4698;-03.2299; ;22.59; ; 1.45; ; 0.26; ; 0.06; ; 0.96; ;pt ;21.30;QSO;      ; ;QSO
     166;CDFS_MOS02-15   ;052.9735;-26.5913; ;22.12; ; 1.44; ; 0.25;<; 0.00; ; 1.63; ;ext;21.48;   ;      ; ;?
     167;VVDS22H_MOS05-04;333.8323;-01.0911;>;22.33;>; 1.44; ; 1.36;<; 0.00; ; 0.23;F;   ;     ;   ;      ; ;Orphan Trans
     168;XMMLSS_MOS01-06 ;036.1978;-03.3836; ;22.75; ; 1.44; ; 0.23; ; 0.41; ; 0.36;F;pt ;15.91;Mdw;      ;X;Mdw
     169;XMMLSS_MOS03-14 ;035.9252;-04.5929;>;22.95;>; 1.44; ; 0.57;<; 0.00; ; 1.24;V;pt ;20.70;   ;      ;X;?
     170;VVDS22H_MOS05-09;334.0128;-01.0106;>;22.33;>; 1.44; ; 1.37; ; 0.14;<; 0.00;F;pt ;16.89;Mdw;      ; ;Mdw
     171;ELAISN1_MOS11-15;244.8179;+55.3012;>;23.04;>; 1.43; ; 0.66;<; 0.00; ; 1.34;F;pt ;22.77;   ;      ; ;Point Trans
     172;VVDS22H_MOS06-01;332.4443;-00.6396; ;20.75; ; 1.43; ; 0.34; ; 0.16; ; 0.81;V;ext;17.99;   ; 0.089; ;AGN
     173;XMMLSS_MOS01-23 ;036.8671;-03.5454;>;22.97;>; 1.43; ; 0.23; ; 0.22; ; 0.42;F;ext;21.12;   ;      ; ;Galaxy Trans
     174;CDFS_MOS01-14   ;051.8330;-27.7912;>;23.10;>; 1.43; ; 1.37; ; 0.08; ; 0.07;F;pt ;18.08;Mdw;      ; ;Mdw
     175;CDFS_MOS04-18   ;053.1979;-28.4911; ;23.00; ; 1.43; ; 0.41;<; 0.00; ; 1.32;V;pt ;22.20;QSO;      ; ;QSO
     176;ELAISN1_MOS12-09;243.0184;+54.6324; ;22.47; ; 1.43; ; 0.32; ; 0.10; ; 1.42; ;pt ;20.91;QSO;      ; ;QSO
     177;XMMLSS_MOS05-04 ;034.8340;-05.1483; ;22.89; ; 1.43; ; 0.43; ; 0.29; ; 0.97;F;pt ;21.25;   ;      ; ;QSO
     178;COSMOS_MOS23-32 ;151.2974;+02.3878;>;22.84;>; 1.43; ; 0.46; ; 0.26; ; 1.19;F;ext;19.91;   ;      ; ;Galaxy Trans
     179;CDFS_MOS01-30   ;052.2842;-28.2821; ;22.43; ; 1.42; ; 0.29; ; 0.13; ; 1.49; ;ext;21.29;   ;      ; ;?
     180;CDFS_MOS05-27   ;052.2587;-26.8997;>;23.09;>; 1.42; ; 0.43; ; 0.20; ; 0.99;V;ext;21.46;   ;      ; ;AGN
     181;COSMOS_MOS23-03 ;150.6101;+02.3235; ;22.00; ; 1.42; ; 0.39; ; 0.03; ; 0.64;V;pt ;19.99;QSO; 1.294;X;QSO
     182;ELAISN1_MOS12-13;243.3259;+54.9517;>;22.98;>; 1.42; ; 0.48; ; 0.04; ; 1.20; ;ext;21.62;   ;      ; ;?
     183;ELAISN1_MOS16-01;240.6206;+54.1231; ;21.70; ; 1.42; ; 0.36; ; 0.12; ; 1.22;V;pt ;20.87;QSO;      ; ;QSO
     184;ELAISN1_MOS15-24;243.0512;+54.2599; ;22.53; ; 1.42; ; 0.42; ; 0.15; ; 0.86;V;ext;19.89;   ;      ; ;AGN
     185;XMMLSS_MOS01-26 ;037.0126;-03.5172;>;22.91;>; 1.42; ; 0.26; ; 0.37; ; 0.81;F;ext;20.97;   ;      ; ;Galaxy Trans
     186;COSMOS_MOS26-28 ;150.5272;+01.3757; ;20.23; ; 1.41; ; 0.43; ; 0.78; ; 0.69;V;pt ;16.44;RRL;      ; ;RRL
     187;CDFS_MOS04-24   ;053.3709;-29.0791; ;22.68; ; 1.41; ; 0.24; ; 0.10; ; 0.94; ;ext;19.86;   ;      ; ;?
     188;ELAISN1_MOS14-05;243.7897;+54.5052; ;22.60; ; 1.41; ; 0.42; ; 0.16; ; 1.02; ;pt ;20.29;QSO;      ; ;QSO
     189;VVDS22H_MOS05-11;334.1489;-00.2572;>;22.33;>; 1.41; ; 1.05;<; 0.00; ; 0.17; ;   ;     ;   ;      ; ;?
     190;GROTH_MOS01-00  ;214.7416;+54.4097;>;23.02;>; 1.40; ; 0.47; ; 0.12; ; 0.74;V;pt ;21.33;QSO;      ; ;QSO
     191;GROTH_MOS05-05  ;215.3055;+53.2052;>;23.08;>; 1.40; ; 0.35; ; 0.23; ; 0.52;V;pt ;21.10;   ; 1.956;X;QSO
     192;COSMOS_MOS26-22 ;150.4361;+01.3021;>;22.96;>; 1.40; ; 0.39; ; 0.18; ; 0.91; ;ext;21.73;   ;      ; ;?
     193;XMMLSS_MOS04-21 ;037.2379;-04.3590;>;22.93;>; 1.40; ; 0.47; ; 0.20; ; 1.50;F;ext;21.70;   ;      ; ;Galaxy Trans
     194;COSMOS_MOS25-06 ;149.0483;+02.0809;>;22.83;>; 1.40; ; 1.35; ; 0.91; ; 0.20;F;pt ;17.33;Mdw;      ; ;Mdw
     195;XMMLSS_MOS05-25 ;035.5117;-05.1625; ;21.46; ; 1.40; ; 0.57;<; 0.00; ; 1.33;V;ext;19.02;   ;      ;X;AGN
     196;CDFS_MOS05-02   ;051.6203;-27.2639; ;23.01; ; 1.40; ; 0.37; ; 0.06; ; 1.13;V;   ;22.24;   ;      ; ;QSO
     197;XMMLSS_MOS00-03 ;035.2513;-02.8172; ;21.95; ; 1.40; ; 0.22; ; 0.03; ; 1.46; ;pt ;19.56;QSO;      ; ;QSO
     198;ELAISN1_MOS12-06;242.6390;+54.8503; ;22.36; ; 1.40; ; 0.46;<; 0.00; ; 1.21; ;ext;20.93;   ;      ; ;?
     199;GROTH_MOS04-14  ;212.1175;+53.7372; ;22.75; ; 1.40; ; 0.52; ; 0.09; ; 1.29;V;pt ;20.90;QSO;      ; ;QSO
     200;XMMLSS_MOS01-00 ;036.0201;-03.5360;>;22.95;>; 1.40; ; 0.38; ; 0.85; ; 0.54;V;pt ;21.66;QSO;      ; ;QSO
     201;GROTH_MOS07-13  ;212.7775;+52.7245;>;23.10;>; 1.40; ; 0.38; ; 0.45; ; 0.51;V;pt ;20.73;QSO;      ; ;QSO
     202;GROTH_MOS07-23  ;213.0467;+52.7771; ;23.00; ; 1.39; ; 0.45; ; 0.30; ; 0.98; ;ext;21.23;   ;      ; ;?
     203;XMMLSS_MOS01-03 ;036.0866;-03.5903; ;22.69; ; 1.39; ; 0.24; ; 0.10; ; 1.49;V;ext;20.87;   ;      ; ;AGN
     204;VVDS22H_MOS00-26;333.9704;+01.3085; ;22.37; ; 1.39; ; 0.29;<; 0.00; ; 0.77;V;pt ;20.55;   ;      ; ;Point Var
     205;GROTH_MOS02-06  ;213.7164;+54.7881;>;23.04;>; 1.39; ; 0.35; ; 0.28; ; 0.74; ;ext;21.22;   ;      ; ;?
     206;ELAISN1_MOS16-11;241.1193;+53.9829;>;23.00;>; 1.39; ; 0.70;<; 0.00; ; 1.45; ;ext;20.34;   ;      ; ;?
     207;GROTH_MOS07-11  ;212.6588;+52.6515; ;21.87; ; 1.39; ; 0.40; ; 0.08; ; 0.80;V;pt ;20.57;QSO;      ; ;QSO
     208;COSMOS_MOS26-30 ;150.6248;+01.5018; ;22.56; ; 1.38; ; 0.35; ; 0.13; ; 0.89;F;ext;20.11;   ;      ;X;AGN
     209;ELAISN1_MOS13-13;242.0914;+55.3927;>;23.05;>; 1.38; ; 0.55;<; 0.00; ; 1.36;F;pt ;21.96;   ;      ; ;Point Trans
     210;XMMLSS_MOS00-19 ;035.8862;-03.5363; ;22.48; ; 1.38; ; 0.47; ; 0.22; ; 1.15;V;pt ;20.73;QSO;      ;X;QSO
     211;COSMOS_MOS24-03 ;149.5558;+02.0936; ;22.02; ; 1.38; ; 0.45; ; 0.12; ; 0.95;V;ext;21.03;   ; 1.110;X;AGN
     212;ELAISN1_MOS15-11;242.4293;+54.3621;>;23.03;>; 1.38; ; 0.91;<; 0.00; ; 0.32;F;ext;21.92;   ;      ; ;Galaxy Trans
     213;VVDS22H_MOS00-06;333.4336;+01.3669;>;22.69;>; 1.38; ; 0.41;<; 0.00; ; 0.92;V;pt ;20.15;QSO;      ; ;QSO
     214;XMMLSS_MOS04-00 ;036.3677;-04.2605; ;22.28; ; 1.38; ; 0.44; ; 0.38; ; 0.99;V;ext;20.33;   ;      ;X;AGN
     215;XMMLSS_MOS02-10 ;035.0597;-03.7666; ;22.26; ; 1.37; ; 0.37;<; 0.00; ; 1.64;V;ext;20.40;   ;      ; ;AGN
     216;ELAISN1_MOS16-31;241.9884;+54.3408;>;23.03;>; 1.37; ; 0.77; ; 0.59;<; 0.00;F;pt ;18.12;Mdw;      ; ;Mdw
     217;GROTH_MOS03-18  ;214.6245;+53.7255; ;22.10; ; 1.37; ; 0.31; ; 0.20; ; 0.40;F;ext;19.94;   ;      ; ;Galaxy Flare
     218;COSMOS_MOS27-07 ;149.3214;+01.6872;>;23.01;>; 1.37; ; 0.55; ; 0.15; ; 1.05;F;ext;19.85;   ;      ; ;Galaxy Trans
     219;VVDS22H_MOS00-19;333.8210;+00.8923;>;22.72;>; 1.36; ; 0.41;<; 0.00; ; 1.15; ;ext;21.28;   ;      ; ;?
     220;VVDS22H_MOS06-21;333.4065;-00.3380; ;21.70; ; 1.36; ; 0.29;<; 0.00; ; 0.58;V;pt ;18.81;   ; 1.072; ;QSO
     221;VVDS22H_MOS05-13;334.3315;-00.5329; ;21.89; ; 1.36; ; 0.29; ; 0.16; ; 0.55;V;pt ;20.01;QSO;      ; ;QSO
     222;VVDS22H_MOS03-12;333.7013;+00.4522; ;22.06; ; 1.36; ; 0.35;<; 0.00; ; 0.90;V;ext;20.90;   ;      ; ;AGN
     223;ELAISN1_MOS11-21;245.2268;+55.0693; ;21.55; ; 1.36; ; 0.32; ; 0.21; ; 1.07;V;ext;20.71;   ;      ; ;AGN
     224;CDFS_MOS03-20   ;054.5375;-27.0081;>;23.07;>; 1.36; ; 0.44; ; 0.22; ; 0.95;F;pt ;17.08;   ;      ; ;QSO
     225;COSMOS_MOS27-04 ;149.1799;+01.2993; ;22.76; ; 1.36; ; 0.39; ; 0.26; ; 1.13;V;ext;19.10;   ;      ; ;AGN
     226;ELAISN1_MOS11-17;244.8530;+55.6414; ;22.46; ; 1.36; ; 0.38; ; 0.36; ; 0.82;V;pt ;22.10;QSO;      ; ;QSO
     227;CDFS_MOS00-20   ;053.0172;-27.6235;>;23.10;>; 1.36; ; 0.24; ; 0.05; ; 1.40;F;pt ;22.76;QSO;      ;X;QSO
     228;ELAISN1_MOS12-02;242.1571;+55.1012;>;23.05;>; 1.36; ; 1.25;<; 0.00; ; 1.57;F;pt ;17.02;Mdw;      ; ;Mdw
     229;VVDS22H_MOS06-05;332.6949;-00.2239;>;22.15;>; 1.36; ; 0.22; ; 0.16; ; 0.71;F;ext;19.88;   ;      ; ;Galaxy Trans
     230;GROTH_MOS05-06  ;215.3244;+52.8093;>;23.10;>; 1.36; ; 1.12;<; 0.00; ; 0.25;F;ext;22.56;   ;      ; ;Galaxy Trans
     231;COSMOS_MOS23-22 ;150.9563;+02.6831; ;22.24; ; 1.36; ; 0.38; ; 0.20; ; 1.08; ;ext;20.16;   ;      ; ;?
     232;ELAISN1_MOS14-11;244.1552;+54.1699;>;22.85;>; 1.35; ; 0.43; ; 0.10; ; 1.18; ;ext;21.42;   ;      ; ;?
     233;CDFS_MOS00-02   ;052.5789;-27.6164; ;22.84; ; 1.35; ; 0.14; ; 0.17; ; 0.30;V;pt ;20.90;QSO;      ; ;QSO
     234;ELAISN1_MOS16-16;241.3296;+54.3499; ;21.90; ; 1.35; ; 0.36; ; 0.61; ; 0.79;V;ext;18.68;   ; 0.212;X;AGN
     235;VVDS22H_MOS05-12;334.2012;-00.6790;>;22.33;>; 1.35; ; 0.31; ; 0.39; ; 0.63; ;pt ;20.37;QSO;      ; ;QSO
     236;VVDS22H_MOS00-29;334.1022;+01.5198;>;22.81;>; 1.35; ; 0.33; ; 0.55; ; 0.45;V;pt ;19.32;   ;      ; ;Point Var
     237;VVDS22H_MOS01-03;332.3231;+00.5154;>;22.79;>; 1.35; ; 0.52;<; 0.00;<; 0.00; ;ext;24.55;   ;      ; ;?
     238;CDFS_MOS04-20   ;053.2666;-28.5516;>;23.10;>; 1.35; ; 0.44; ; 0.09; ; 1.10;V;ext;22.42;   ;      ; ;AGN
     239;CDFS_MOS05-11   ;051.8543;-27.1556; ;22.18; ; 1.35; ; 0.21; ; 0.04; ; 1.38; ;ext;20.95;   ;      ; ;?
     240;ELAISN1_MOS16-22;241.5907;+54.1123;>;23.03;>; 1.35; ; 1.26; ; 0.20; ; 0.23;F;pt ;20.57;Mdw;      ; ;Mdw
     241;COSMOS_MOS21-06 ;150.2678;+03.2515;>;22.83;>; 1.35; ; 0.49; ; 0.20; ; 1.14;V;ext;21.14;   ;      ; ;AGN
     242;XMMLSS_MOS04-15 ;036.9741;-04.2329;>;22.96;>; 1.35; ; 0.44;<; 0.00; ; 1.28;V;ext;21.42;   ;      ;X;AGN
     243;ELAISN1_MOS15-17;242.7701;+53.8322; ;20.44; ; 1.35; ; 0.38; ; 0.08; ; 0.67;V;ext;20.14;   ;      ; ;AGN
     244;XMMLSS_MOS05-28 ;035.6841;-04.9508;>;22.99;>; 1.34; ; 1.26; ; 0.22; ; 0.14;F;   ;     ;   ;      ; ;Orphan Trans
     245;COSMOS_MOS27-11 ;149.5294;+01.7008;>;23.00;>; 1.34; ; 0.75;<; 0.00; ; 1.13;V;pt ;21.17;QSO;      ; ;QSO
     246;COSMOS_MOS23-00 ;150.5281;+01.9872; ;22.67; ; 1.34; ; 0.29; ; 0.56; ; 0.40;F;pt ;14.86;Mdw;      ;X;Mdw
     247;XMMLSS_MOS01-02 ;036.0658;-03.5273; ;22.34; ; 1.34; ; 0.30; ; 0.07; ; 1.50;V;ext;20.82;   ;      ;X;AGN
     248;ELAISN1_MOS10-17;243.3727;+55.9222;>;22.99;>; 1.34; ; 0.27;<; 0.00; ; 1.27;V;pt ;20.61;QSO;      ; ;QSO
     249;VVDS22H_MOS00-02;333.2953;+01.5684;>;22.84;>; 1.34; ; 1.24;<; 0.00; ; 0.09;F;ext;     ;   ;      ; ;Galaxy Trans
     250;CDFS_MOS01-03   ;051.5440;-28.2424; ;22.02; ; 1.34; ; 0.45;<; 0.00; ; 1.09;V;ext;20.62;   ;      ; ;AGN
     251;VVDS22H_MOS05-08;333.9903;-00.4873; ;21.54; ; 1.34; ; 0.25; ; 0.37; ; 0.35;V;pt ;14.49;   ;      ; ;Point Var
     252;GROTH_MOS03-21  ;214.8390;+53.2771;>;23.10;>; 1.34; ; 0.56;<; 0.00; ; 0.58;F;ext;21.42;   ;      ; ;Galaxy Trans
     253;COSMOS_MOS23-30 ;151.2415;+01.7325;>;22.97;>; 1.33; ; 1.25; ; 0.23; ; 0.21;F;   ;     ;   ;      ; ;Orphan Trans
     254;ELAISN1_MOS10-07;242.1792;+56.1039; ;21.79; ; 1.33; ; 0.52; ; 0.17; ; 1.28; ;ext;21.68;   ;      ; ;?
     255;XMMLSS_MOS04-22 ;037.2620;-04.2748; ;19.98; ; 1.33; ; 0.25; ; 0.03; ; 1.58; ;ext;19.84;   ;      ; ;?
     256;ELAISN1_MOS11-00;243.8196;+55.3748;>;23.04;>; 1.33; ; 1.24; ; 0.22; ; 0.26;F;pt ;15.28;Mdw;      ; ;Mdw
     257;CDFS_MOS01-35   ;052.4889;-28.0354;>;23.10;>; 1.33; ; 1.26; ; 0.18; ; 0.19;F;pt ;18.68;Mdw;      ; ;Mdw
     258;COSMOS_MOS22-15 ;149.9473;+03.0765; ;21.72; ; 1.33; ; 0.47; ; 0.18; ; 1.17;V;pt ;21.01;QSO;      ; ;QSO
     259;COSMOS_MOS26-32 ;150.7697;+00.9459;>;22.98;>; 1.33; ; 1.25;<; 0.00; ; 0.15;F;pt ;23.42;   ;      ; ;Point Trans
     260;VVDS22H_MOS06-10;332.8224;-00.2278;>;22.24;>; 1.33; ; 1.10; ; 0.19; ; 0.16; ;pt ;19.73;Mdw;      ; ;Mdw
     261;CDFS_MOS06-12   ;054.0973;-28.1688; ;20.47; ; 1.33; ; 0.67; ;     ; ; 1.52;V;ext;19.47;   ;      ; ;AGN
     262;XMMLSS_MOS00-15 ;035.6665;-02.8714; ;22.17; ; 1.33; ; 0.45; ; 0.05; ; 1.04;V;pt ;20.82;QSO;      ;X;QSO
     263;XMMLSS_MOS04-20 ;037.1993;-04.7032;>;22.96;>; 1.32; ; 0.39; ; 0.31; ; 0.83;F;ext;29.23;   ;      ; ;Galaxy Trans
     264;XMMLSS_MOS01-15 ;036.4972;-03.8981;>;22.97;>; 1.32; ; 0.24;<; 0.00; ; 1.49; ;ext;20.75;   ;      ; ;?
     265;COSMOS_MOS23-29 ;151.2392;+01.7315;>;22.97;>; 1.32; ; 1.24; ; 0.36; ; 0.20;F;pt ;24.89;   ;      ; ;Point Trans
     266;XMMLSS_MOS05-29 ;035.7030;-04.9609;>;22.99;>; 1.32; ; 1.24; ; 0.22; ; 0.14;F;   ;     ;   ;      ; ;Orphan Trans
     267;COSMOS_MOS26-09 ;150.1567;+01.3685;>;22.88;>; 1.32; ; 0.17; ; 0.28; ; 0.19;F;ext;19.88;   ;      ; ;Galaxy Trans
     268;XMMLSS_MOS04-11 ;036.7867;-04.2332;>;22.96;>; 1.32; ; 0.53;<; 0.00; ; 1.12;V;ext;21.88;   ;      ;X;AGN
     269;XMMLSS_MOS00-07 ;035.3607;-03.0693;>;22.93;>; 1.32; ; 0.38; ; 0.15; ; 1.14;V;ext;21.10;   ;      ;X;AGN
     270;COSMOS_MOS26-04 ;150.0798;+01.4494; ;20.74; ; 1.32; ; 0.27; ; 0.32; ; 0.39;V;pt ;12.76;   ;      ; ;Point Var
     271;XMMLSS_MOS05-30 ;035.7069;-05.2483; ;20.09; ; 1.32; ; 0.46;<; 0.00; ; 1.56; ;ext;18.50;   ;      ;X;AGN
     272;GROTH_MOS03-06  ;213.9199;+53.2250; ;22.22; ; 1.32; ; 0.40; ; 0.17; ; 0.58;V;ext;19.48;   ;      ; ;AGN
     273;CDFS_MOS02-19   ;053.0894;-26.7792; ;22.17; ; 1.32; ; 0.30; ; 0.16; ; 1.43; ;ext;21.95;   ;      ; ;?
     274;XMMLSS_MOS01-14 ;036.4971;-03.8970;>;22.97;>; 1.32; ; 0.23;<; 0.00; ; 1.48; ;ext;20.73;   ;      ; ;?
     275;COSMOS_MOS23-08 ;150.7689;+02.1733;>;22.97;>; 1.32; ; 1.24; ; 0.36; ; 0.20;F;   ;     ;   ;      ; ;Orphan Trans
     276;ELAISN1_MOS16-09;241.0300;+54.3551; ;22.69; ; 1.31; ; 0.48;<; 0.00; ; 1.18;V;pt ;21.45;   ;      ; ;Point Var
     277;ELAISN1_MOS13-07;241.3568;+55.3726;>;23.00;>; 1.31; ; 0.42; ; 0.17; ; 0.94; ;pt ;20.71;QSO;      ; ;QSO
     278;XMMLSS_MOS06-19 ;036.3912;-05.0273; ;22.05; ; 1.31; ; 0.22; ; 0.16; ; 0.26;V;pt ;14.05;   ;      ;X;?
     279;COSMOS_MOS24-11 ;149.7440;+02.2500; ;21.27; ; 1.31; ; 0.42; ; 0.06; ; 1.14;V;ext;17.34;   ; 0.133;X;AGN
     280;COSMOS_MOS24-41 ;150.4955;+02.4120;>;23.00;>; 1.31; ; 0.35; ; 0.24; ; 0.91;F;ext;21.16;   ; 1.369;X;AGN
     281;ELAISN1_MOS11-07;244.1836;+55.0804;>;22.97;>; 1.31; ; 0.37; ; 0.32; ; 0.70;F;pt ;21.67;   ;      ; ;Point Trans
     282;VVDS22H_MOS00-04;333.3753;+00.9732;>;22.79;>; 1.31; ; 0.31;<; 0.00; ; 0.79;V;ext;22.17;   ;      ; ;AGN
     283;XMMLSS_MOS00-08 ;035.4740;-03.4698;>;22.94;>; 1.31; ; 1.23; ; 0.35; ; 0.12;F;ext;23.90;   ;      ; ;Galaxy Trans
     284;COSMOS_MOS23-36 ;151.4481;+02.0085;>;22.94;>; 1.31; ; 0.38; ; 0.18; ; 0.96;F;pt ;21.10;QSO;      ; ;QSO
     285;CDFS_MOS02-35   ;053.6257;-26.7851; ;22.90; ; 1.30; ; 0.38; ; 0.23; ; 0.76;V;ext;21.10;   ;      ; ;AGN
     286;ELAISN1_MOS16-08;240.9298;+54.8687;>;22.88;>; 1.30; ; 0.28;<; 0.00; ; 0.86;F;pt ;20.57;   ;      ; ;Point Trans
     287;ELAISN1_MOS16-36;242.2395;+54.3562; ;22.42; ; 1.30; ; 0.43;<; 0.00; ; 1.11;V;pt ;21.36;   ;      ; ;Point Var
     288;COSMOS_MOS27-22 ;149.9363;+01.3036;>;23.00;>; 1.30; ; 0.47; ; 0.16; ; 1.29;V;pt ;21.61;   ;      ; ;QSO
     289;CDFS_MOS02-11   ;052.8921;-27.1810; ;21.82; ; 1.30; ; 0.34; ; 0.05; ; 0.77;V;ext;20.72;   ;      ; ;AGN
     290;COSMOS_MOS25-01 ;148.7688;+02.0338; ;20.80; ; 1.30; ; 0.35; ; 0.17; ; 0.29; ;ext;18.97;   ;      ; ;?
     291;COSMOS_MOS24-31 ;150.1238;+02.3581; ;22.72; ; 1.29; ; 0.32; ; 0.25; ; 0.74;V;ext;20.70;   ; 0.728;X;AGN
     292;CDFS_MOS01-29   ;052.2778;-28.5877;>;23.10;>; 1.29; ; 0.32; ; 0.17; ; 0.67;V;ext;21.54;   ;      ; ;AGN
     293;COSMOS_MOS24-33 ;150.1399;+02.0954;>;23.01;>; 1.29; ; 1.20; ; 0.23; ; 0.21;F;pt ;18.07;Mdw;      ;X;Mdw
     294;CDFS_MOS05-01   ;051.5590;-27.2792; ;22.88; ; 1.29; ; 0.26; ; 0.06; ; 0.63;V;   ;20.87;   ;      ; ;QSO
     295;COSMOS_MOS24-08 ;149.6732;+02.5829;>;23.00;>; 1.29; ; 0.36; ; 0.67; ; 0.53;V;ext;20.49;   ;      ; ;AGN
     296;ELAISN1_MOS14-03;243.6295;+53.6911; ;22.03; ; 1.29; ; 0.42; ; 0.21; ; 1.11;F;ext;21.26;   ;      ; ;Galaxy Flare
     297;COSMOS_MOS26-02 ;150.0639;+01.5681;>;22.93;>; 1.29; ; 0.21; ; 0.33; ; 0.27;V;ext;19.87;   ;      ; ;AGN
     298;VVDS22H_MOS00-18;333.8083;+00.8164;>;22.72;>; 1.29; ; 0.39;<; 0.00; ; 1.00;V;ext;21.20;   ;      ; ;AGN
     299;CDFS_MOS03-05   ;053.8719;-27.1454;>;23.07;>; 1.29; ; 0.44; ; 0.15; ; 0.99;V;ext;21.05;   ;      ; ;AGN
     300;CDFS_MOS00-36   ;053.2783;-28.1535; ;22.53; ; 1.29; ; 0.28;<; 0.00; ; 0.96;V;pt ;21.17;   ;      ; ;STAR
     301;GROTH_MOS04-26  ;212.8810;+53.5101; ;20.46; ; 1.29; ; 0.36; ; 0.49; ; 0.52; ;pt ;16.67;RRL;      ; ;RRL
     302;COSMOS_MOS24-19 ;149.8821;+02.2478;>;23.01;>; 1.29; ; 0.94; ; 0.34; ; 0.24;F;ext;24.16;   ;      ; ;Galaxy Trans
     303;CDFS_MOS03-19   ;054.5052;-27.2439;>;23.07;>; 1.28; ; 0.39; ; 0.14; ; 1.24;V;ext;21.69;   ;      ; ;AGN
     304;COSMOS_MOS24-36 ;150.3121;+02.0363; ;22.21; ; 1.28; ; 0.43;<; 0.00; ; 1.26;F;ext;21.44;   ; 0.989;X;AGN
     305;ELAISN1_MOS16-30;241.9881;+54.1338;>;23.03;>; 1.28; ; 0.56;<; 0.00; ; 1.16;V;pt ;22.03;QSO;      ; ;QSO
     306;COSMOS_MOS24-01 ;149.4944;+02.3055;>;22.93;>; 1.28; ; 0.19; ; 0.24; ; 0.16;F;ext;20.00;   ;      ; ;Galaxy Trans
     307;ELAISN1_MOS15-03;242.1960;+54.0721; ;22.62; ; 1.28; ; 0.25; ; 0.09; ; 0.88;F;ext;21.21;   ;      ; ;Galaxy Flare
     308;XMMLSS_MOS05-21 ;035.4354;-05.1635; ;22.85; ; 1.28; ; 0.17;<; 0.00; ; 1.01;V;ext;21.26;   ;      ;X;AGN
     309;XMMLSS_MOS01-24 ;036.9157;-03.7073; ;21.85; ; 1.28; ; 0.30; ; 0.07; ; 0.67; ;ext;21.87;   ;      ;X;AGN
     310;CDFS_MOS00-57   ;053.6728;-27.6841;>;23.10;>; 1.28; ; 0.35;<; 0.00; ; 1.33;F;   ;     ;   ;      ; ;Orphan Trans
     311;XMMLSS_MOS03-11 ;035.7509;-04.1582;>;22.96;>; 1.28; ; 1.20; ; 0.15; ; 0.05;F;   ;     ;   ;      ; ;Orphan Trans
     312;XMMLSS_MOS05-19 ;035.4083;-04.8612; ;22.74; ; 1.27; ; 0.20; ; 0.19; ; 0.27;F;ext;21.91;   ;      ; ;Galaxy Flare
     313;COSMOS_MOS22-07 ;149.3518;+02.5885; ;22.11; ; 1.27; ; 0.47; ; 0.25; ; 1.12;V;pt ;20.11;QSO; 0.957; ;QSO
     314;XMMLSS_MOS06-10 ;036.0457;-05.1147; ;22.75; ; 1.27; ; 0.38; ; 0.07; ; 0.92;V;pt ;20.03;QSO;      ;X;QSO
     315;ELAISN1_MOS14-00;243.2179;+54.0669;>;22.98;>; 1.27; ; 0.30; ; 0.10; ; 0.72;V;pt ;20.12;QSO;      ; ;QSO
     316;COSMOS_MOS23-33 ;151.3051;+02.2189;>;22.96;>; 1.27; ; 0.32; ; 0.16; ; 0.64; ;pt ;20.84;QSO;      ; ;QSO
     317;VVDS22H_MOS00-14;333.6463;+00.9178; ;22.30; ; 1.27; ; 0.32; ; 0.07; ; 0.69;V;ext;20.76;   ;      ; ;AGN
     318;CDFS_MOS00-14   ;052.8496;-28.2719; ;21.85; ; 1.27; ; 0.12; ; 0.11; ; 0.39; ;ext;18.51;   ;      ; ;?
     319;COSMOS_MOS21-08 ;150.4543;+03.0491; ;22.05; ; 1.27; ; 0.43; ; 0.19; ; 1.03;V;pt ;20.36;QSO;      ; ;QSO
     320;ELAISN1_MOS10-15;243.1553;+55.6575; ;22.93; ; 1.27; ; 0.26; ; 0.64; ; 0.32;V;ext;20.55;   ;      ; ;AGN
     321;COSMOS_MOS25-05 ;148.8955;+02.7083;>;22.80;>; 1.26; ; 0.43; ; 0.18; ; 1.14;V;ext;21.61;   ;      ; ;AGN
     322;CDFS_MOS00-53   ;053.5585;-27.9089; ;23.09; ; 1.26; ; 0.07; ; 0.07;<; 0.00;V;ext;20.85;   ;      ; ;AGN
     323;XMMLSS_MOS01-25 ;036.9926;-03.2511; ;22.07; ; 1.26; ; 0.41; ; 0.33; ; 0.55;F;ext;19.46;   ;      ; ;Galaxy Flare
     324;ELAISN1_MOS11-01;243.8751;+54.8591; ;21.41; ; 1.26; ; 0.41; ; 0.16; ; 0.84;F;ext;20.37;   ;      ; ;Galaxy Flare
